
           No.1 New Price-cut Availble 165, 14.9813 Off From the Previous Price 180

Order : 1, Retialer : 5, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.0670726

Order : 1, Retialer : 10, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.1309466

Order : 1, Retialer : 2, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.1979913

Order : 1, Retialer : 6, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.2630415

Order : 1, Retialer : 1, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.3250845

Order : 1, Retialer : 4, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.4561771

Order : 1, Retialer : 9, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.5182218

Order : 1, Retialer : 3, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.5822651

Order : 1, Retialer : 8, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.6443087

Order : 1, Retialer : 7, unitprice of Chicken: 165, Weight of Chicken: 109, Amount of Charge: 31043, Start Time: 05-06-2016 12:13:12, Completed Time: 05-06-2016 12:13:14, Time taken to process the order: 00:00:02.7088595

           No.2 New Price-cut Availble 232, 6.9610 Off From the Previous Price 239

Order : 2, Retialer : 2, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:19, Time taken to process the order: 00:00:01.1110855

Order : 2, Retialer : 8, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:24, Time taken to process the order: 00:00:06.8458670

Order : 2, Retialer : 10, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:24, Time taken to process the order: 00:00:06.9089091

Order : 2, Retialer : 6, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:24, Time taken to process the order: 00:00:06.9734535

Order : 2, Retialer : 7, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:25, Time taken to process the order: 00:00:07.0409988

Order : 2, Retialer : 5, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:25, Time taken to process the order: 00:00:07.1040557

Order : 2, Retialer : 9, unitprice of Chicken: 232, Weight of Chicken: 102, Amount of Charge: 40879, Start Time: 05-06-2016 12:13:18, Completed Time: 05-06-2016 12:13:25, Time taken to process the order: 00:00:07.1711032

